id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Type	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize	Features
175144790	SALES_RESIDENTIAL	The Perfect Precinct...	Enquire Today	2018-04-04 08:15:35		1002/25 Edinburgh Ave	Acton	ACT	2601	-35.284914	149.1225939	APARTMENT	409367	Agent	Crowthers	Charles Crowther	2	1	1	8.5	0	['BROADBAND', 'DISHWASHER', 'HEATING_OTHER', 'STUDY']
175144842	SALES_RESIDENTIAL	A Rare Opportunity	Enquire Today	2018-04-04 08:18:15		G09/19 Marcus Clarke Street	Acton	ACT	2601	-35.2851644	149.1248959	UNIT	409367	Agent	Crowthers	Tony Barker	1	2	1	6	0	['AIR_CONDITIONING', 'AIR_CONDITIONING_OTHER', 'BROADBAND', 'DISHWASHER', 'FULLY_FURNISHED', 'GYM', 'HEATING_CENTRAL', 'OUTDOOR_ENTERTAINING_AREA', 'STUDY']
175147700	SALES_RESIDENTIAL	An Artform in Elegance	By Negotiation	2018-04-05 00:52:09		26/43 Constitution Avenue	Reid	ACT	2612	-35.28769	149.1390342	UNIT	80917	Agent	Ray White Canberra 	Nathan Wood	2	2	1	6	0	['AIR_CONDITIONING', 'AIR_CONDITIONING_OTHER', 'ALARM']
175103315	SALES_RESIDENTIAL	2 Bedrooms Spacious Design	$389,000-$405,000	2018-04-05 01:13:19	2020-10-30 13:15:00	Metro One - One bedroom plus huge study	Gungahlin	ACT	2912	-35.1828542	149.1352194	APARTMENT	386	Agent	Premier Capital Properties	Rick Farzan	2	1	1	6	2364	['AIR_CONDITIONING_REVERSE_CYCLE', 'BODY_CORPORATE', 'BROADBAND', 'CORE_AREA', 'DISHWASHER', 'HOPPER', 'INTERCOM', 'NEW_CONSTRUCTION', 'SHOWER', 'STUDY']
175103324	SALES_RESIDENTIAL	Only 1 Left for Sale! No Other Apartments are like These.Two bedroom, Two bathroom, Loft Penthouse Apartment With Over 99m2 of living areas	$509,000	2018-04-05 01:40:01	2020-11-08 13:15:00	Metro One - Two bedroom two bathroom loft apartment	Gungahlin	ACT	2912	-35.1828542	149.1352194	APARTMENT	386	Agent	Premier Capital Properties	Rick Farzan	2	2	1	6	2364	['AIR_CONDITIONING_REVERSE_CYCLE', 'BODY_CORPORATE', 'BROADBAND', 'CORE_AREA', 'DISHWASHER', 'FAMILY_ROOM', 'HOPPER', 'INTERCOM', 'NEW_CONSTRUCTION', 'PLANS_APPROVED', 'SHOWER', 'STUDY_NOOK']
175155177	SALES_RESIDENTIAL	Dream home with luxurious finishes with display to view	$869,900	2018-04-11 00:43:45		Bacon Street	Denman Prospect	ACT	2611	-35.3075042	149.0239297	HOUSE_AND_LAND_PACKAGE	5403	Agent	Independent Gungahlin	Michael Wang	4	2	2	7	573	['AIR_CONDITIONING_REVERSE_CYCLE', 'BROADBAND', 'DISHWASHER', 'DOUBLE_GLAZED_WINDOWS', 'ELECTRIC_GARAGE_DOORS', 'ENCLOSED_BACKYARD', 'FAMILY_ROOM', 'FENCING', 'FORMAL_LOUNGE_ROOM', 'INTERCOM', 'OUTDOOR_ENTERTAINING_AREA', 'SLAB_CONSTRUCTION', 'WALK_IN_PANTRY', 'WALK_IN_ROBE']
175167054	SALES_RESIDENTIAL	Best value near new apartment in Belconnen - Don't Miss this One	over $299,000	2018-04-12 14:00:00	2020-09-23 22:40:07	715/120 Eastern Valley Way	Belconnen	ACT	2617	-35.240714	149.0735953	APARTMENT	634772	Agent	Red Brick Properties	Nalin Ratnaike	1	1	1	6	0	['BODY_CORPORATE', 'BROADBAND', 'BUSH_LOCATION', 'DISHWASHER', 'GYM', 'HEATING_CENTRAL', 'HOPPER', 'INTERCOM', 'MOUNTAIN_VIEWS', 'OUTDOOR_ENTERTAINING_AREA', 'SHOWER', 'SWIMMING_POOL_INDOOR']
175214379	SALES_RESIDENTIAL	Inner North Investment opportunity	$284,000+	2018-04-19 14:00:00		9/127 Rivett Street	Hackett	ACT	2602	-35.2484916	149.1646053	UNIT	252785	Agent	Luton Properties Gungahlin	Miriana Cavic	2	1	1	3.5	2417	[]
175085342	SALES_RESIDENTIAL	Roof Top Terrace Penthouse With Own Plunge Pool - Great Investment	By Negotiation	2018-04-26 00:07:15	2019-04-10 23:12:51	182/15 Coranderrk Street	City	ACT	2601	-35.2839773	149.1357156	APARTMENT	197165	Agent	Key Real Estate ACT	Gabriele Hume	3	3	2	4	10429	['AIR_CONDITIONING_REVERSE_CYCLE', 'BODY_CORPORATE', 'DISHWASHER', 'ENTRANCE_HALL', 'FORMAL_LOUNGE_ROOM', 'GYM', 'OUTDOOR_ENTERTAINING_AREA', 'PERGOLA', 'SWIMMING_POOL', 'SWIMMING_POOL_INDOOR']
175103325	SALES_RESIDENTIAL	All Sold Except Just One! You Will Miss These When They Are All Gone! Two bedroom Light Filled Corner Apartment, with a Large 22.5m2 Balcony	$435,000	2018-05-03 13:33:44	2020-10-31 13:15:00	Metro One - Two bedroom one bathroom corner apartment	Gungahlin	ACT	2912	-35.1828542	149.1352194	APARTMENT	386	Agent	Premier Capital Properties	Rick Farzan	2	1	1	6	2364	['AIR_CONDITIONING_REVERSE_CYCLE', 'BODY_CORPORATE', 'BROADBAND', 'CORE_AREA', 'DISHWASHER', 'ENTRANCE_HALL', 'FAMILY_ROOM', 'HOPPER', 'INTERCOM', 'NEW_CONSTRUCTION', 'SHOWER', 'STUDY_NOOK']
